"x","VideoAligned_1 uM Capsaicin BTX F#1.1_average","VideoAligned_1 uM Capsaicin BTX F#1.2_average","VideoAligned_1 uM Capsaicin BTX F#2.1_average","VideoAligned_1 uM Capsaicin BTX F#2.2_average","VideoAligned_1 uM Capsaicin BTX F#3.1_average","VideoAligned_1 uM Capsaicin BTX F#3.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#1.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#1.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#2.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#2.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#3.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#3.2_average","VideoAligned_1 uM Capsaicin Control F#1.1_average","VideoAligned_1 uM Capsaicin Control F#1.2_average","VideoAligned_1 uM Capsaicin Control F#2.1_average","VideoAligned_1 uM Capsaicin Control F#2.2_average","VideoAligned_1 uM Capsaicin Control F#3.1_average","VideoAligned_1 uM Capsaicin Control F#3.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#1.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#1.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#2.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#2.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#3.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#3.2_average","VideoAligned_1 uM Capsaicin Stress F#1.1_average","VideoAligned_1 uM Capsaicin Stress F#1.2_average","VideoAligned_1 uM Capsaicin Stress F#2.1_average","VideoAligned_1 uM Capsaicin Stress F#2.2_average","VideoAligned_1 uM Capsaicin Stress F#3.1_average","VideoAligned_1 uM Capsaicin Stress F#3.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#1.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#1.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#2.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#2.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#3.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#3.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#1.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#1.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#2.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#2.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#3.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#3.2_average"
1,-0.00640431581419975,-0.195095700038874,-0.0602882870868255,-0.144883797246422,-0.0600443888607389,0.129392835833971,0.0137495662837261,-0.143928231353238,-0.0924262726139194,0.15695211772608,-0.0798494354604588,-5.01060967416527e-05,-0.0181244443870217,0.266129096041538,0.0409339926886384,-0.0729374950656444,-0.0246302639441,0.0605211779890957,0.0817532404021643,0.00819761925042242,0.132727309667631,0.102568401870389,-0.0164828631954782,-0.129976249942112,-0.0776714499450816,-0.208428663344865,-0.0249922305518289,0.102261550213664,-0.0503605930683975,0.372540888630904,0.22556161182839,-0.0181914487301602,-0.0575500989180492,0.0312078259503652,-0.0657742072140812,0.0759947585208961,0.0582708604399997,-0.0741799179798508,-0.104518223951268,0.0015434706443027,0.183076582541818,-0.0467842605035602
2,-0.00939857337830634,-0.167038696422885,-0.0520397659648753,-0.131025912248337,-0.0716900621414823,0.104380512657392,7.64201524968204e-05,-0.129376956858646,-0.0960095651065682,0.102498862806965,-0.0870508475938276,-0.0226346237029721,-0.0571378906937975,0.246932476924451,0.0119332847105511,-0.067697941745507,-0.0237484254049276,0.0373418548375857,0.0396156300481934,-0.00583590398237648,0.101148768104131,0.0610694233800093,-0.0170987089721583,-0.116409915493097,-0.0880890262839691,-0.189457428968611,-0.027365995174379,0.081027518914488,-0.050066336903163,0.29752735156685,0.187956290114989,-0.0194516611138928,-0.0611141607724431,0.0227871323483426,-0.0632261868323998,0.0717063132197063,0.0313379471946207,-0.0790431479041446,-0.10647861876667,-0.0293855337373485,0.132671797072727,-0.0421378747822899
3,-0.0122022797119707,-0.144965538840389,-0.0446598913071795,-0.116024028689166,-0.0712656362289575,0.0827775574298707,-0.00275952869705,-0.109534185776032,-0.091476891427096,0.0898681669361713,-0.0804336372645409,-0.0211787735537249,-0.0545528552133825,0.228695479647533,-0.00429417062142042,-0.0544269484746807,-0.0158697868324299,0.0306036712087993,0.0192804042561477,-0.0165032680167668,0.0603340060767845,0.0345087708851655,-0.0121418555628129,-0.098846639891433,-0.0694140243216512,-0.156593625628548,-0.0246393986919142,0.0613997899883454,-0.0546868122648325,0.241967190077483,0.151586099196168,-0.0125802864217886,-0.0479177282528342,-0.00404002838224369,-0.0480694699220601,0.0714729835791482,0.0152494945962615,-0.0703360929441107,-0.0951091780208576,-0.0369058383267595,0.110315569452442,-0.0375701366735708
4,-0.0139356853178819,-0.124666326878238,-0.0373662972430009,-0.100493848317811,-0.0654905443856109,0.0709633730757239,-0.00218887713219136,-0.0858343010791583,-0.0832694913526979,0.0822428481834359,-0.0685732628291699,-0.0360615770044066,-0.0657853414813406,0.193107951022089,-0.0122769314176072,-0.0469409229256422,-0.00459703195638421,0.0150860832341211,-5.12124530992807e-05,-0.0218325448498416,0.0378511980000319,0.0102798650065174,-0.00933138253068859,-0.0825899218140202,-0.0584125536270006,-0.129911443612769,-0.0224705321444531,0.0541937868434585,-0.0449329692772755,0.194182639751576,0.126905631701953,-0.00657334583094201,-0.0371439560391448,-0.0049758068589829,-0.0425694264392465,0.0724852634455642,0.0095023613330013,-0.0546632755907131,-0.0943055033481959,-0.0281227301818324,0.0854026000928923,-0.0441392761901144
5,-0.00721606569516766,-0.0909180032070184,-0.0305216460634248,-0.0841598941652586,-0.0561505706212909,0.0547074714400159,-0.00744203800958158,-0.0703616547848067,-0.068903845723337,0.0644243189501155,-0.0591831910496283,-0.0285876381640437,-0.0535114389967113,0.164275659808486,-0.0141571915007726,-0.0432655616513312,-0.00111149228986051,0.00944837768070233,-0.00144081095823965,-0.019773546125616,0.0396633236222219,-0.0047590377537997,-0.0108730429099053,-0.0619022334418186,-0.0478507949610027,-0.105785040515884,-0.0262101747006267,0.0471721052941358,-0.0362388190297907,0.157183874792984,0.0880387327793003,-0.00414813252900461,-0.0301823133729847,-0.00747960188789958,-0.0368582566062795,0.0714636762464208,0.00891103082388734,-0.0361494673620784,-0.0859449305155608,-0.030444391755067,0.0531049113318837,-0.0309396756061089
6,0.000628187079746184,-0.0625647920093063,-0.0252973550115301,-0.0677711511720896,-0.046738688446096,0.0487875503101432,-0.0124020374767453,-0.0506227846008219,-0.0597812400167583,0.0545254768903235,-0.0500647055361941,-0.0263727006136819,-0.0373462658044911,0.108309280911853,-0.0194016682127419,-0.03031897756061,0.00551219469037555,0.00324446752382713,-0.00300141046984821,-0.0141972439707467,0.0297878351920568,-0.00886629174921693,-0.0123521867795246,-0.0408990082326935,-0.0362536274680253,-0.0837144686487683,-0.0213068606554333,0.0435466442746628,-0.0356145745377567,0.117479118281983,0.0636128630407323,-0.00700825181220982,-0.0255497123078976,-0.00636741257014663,-0.0290760511222779,0.058582020889173,0.00864610919724461,-0.028549755948758,-0.0695997021505479,-0.0338703318978999,0.0347943652558918,-0.0310917869774712
7,-0.00176295404099521,-0.048550220473594,-0.017320857057451,-0.0517770778211133,-0.0380013316488232,0.0452400690675972,-0.0052828547519585,-0.0447623458603804,-0.0504195957908042,0.0310313495227493,-0.042308826183408,-0.0223392919197028,-0.0170437296849975,0.0815219686985929,-0.0100137344925526,-0.017524452174652,0.0051884414435469,0.00551207797539105,-0.000797490769233665,-0.00552290200242478,0.0209415732534628,-0.0115121540843991,-0.00898826684316788,-0.0308168826926144,-0.0266649381414447,-0.0599124555943454,-0.0155769492834271,0.0307935212604749,-0.0251345913157819,0.0846944423449221,0.0500159065099613,-0.00274452032743677,-0.0163473214830501,-0.000437576406578646,-0.02846260983655,0.0378992102053482,0.0155694017214013,-0.0241452508642312,-0.0543030322487818,-0.0239058312011896,0.0181126451421494,-0.0201095193600765
8,-0.00271507988768364,-0.029690204906503,-0.0126623182638105,-0.032167003868725,-0.0329413168029828,0.0288962683245125,-0.00161803715011128,-0.0387066820756971,-0.0339809382168003,0.0217347876663224,-0.025030152041605,-0.00980177589698933,-0.00700388333069932,0.045383182773995,-0.00980969228119845,-0.0158630890993568,-0.000612528090586351,-0.00100187811205614,-0.00133633172288364,-0.00108362386461228,0.00945577529643716,-0.00648609387352569,-0.00660056363239488,-0.0183456798163773,-0.013478612898078,-0.0405681440827046,-0.0055361028053396,0.0248525991171579,-0.0230111469165617,0.056684582413525,0.0283642472115919,-0.00461955389695055,-0.00948432099448353,0.00118457903902994,-0.0166984058805569,0.0242691642052968,0.017148393168456,-0.0202677760652816,-0.0376277187836857,-0.00736513229738442,0.0124579782878911,-0.0161242188339013
9,-0.000781361387509581,-0.0111550941554612,-0.00618989023149299,-0.0153531968907041,-0.020114562013291,0.0104661748449361,0.000470894072616037,-0.0222575106558888,-0.0151492151396676,0.0119545367712091,-0.0128943042282665,-0.0131527982749882,-0.000939704184380528,0.0171338612459268,-0.00702829339589333,-0.00857469141412131,-0.000695755455659624,0.0046544457434864,0.000767573787148866,-8.11264581108156e-05,0.00763869766503405,-0.00144011926447121,-0.00385293533005477,-0.00913974338604927,-0.00254456294366388,-0.0181979533161513,-0.0015800975341315,0.0146462894053898,-0.0104783431428717,0.0262148646942956,0.0119730528880856,-0.00099687837282461,-0.00170598534706999,-0.00699671695398336,-0.0104148188727191,0.0115376960399139,0.00931605273970008,-0.0124417339093866,-0.0161615002639389,-0.00323075914733541,0.00194485440686336,-0.0104670155572547
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.164903763848059,0.00650816614053941,0.00348401376185709,0.000281936567623818,0.0119906736524472,0.0149606640666296,-0.00154946016814412,0.0238939688073329,0.00579598337394753,0.0141421422620878,0.00380873419272122,0.0206480971080641,-0.00318609165929993,-0.0229696676408069,0.0124251613737218,0.0367577193891626,-0.0201942740070534,-0.00607600513642303,0.0444033770021606,0.0171658376472771,-0.000178815804452972,0.017123740475334,-0.0128856886437441,-0.00931058792951216,0.259444898990133,0.0199514694229943,0.00315660573481436,-0.00332423067798557,0.0275000879198771,-0.0383785925668153,0.0285937413609336,0.0115051849927728,0.0266361926570591,0.0103553229135675,0.0126398533766787,-0.0276872754747933,0.00809724844899893,0.0232976052870119,0.0673890968413198,0.0523854346583416,0.0262263805836429,-0.00614463971321312
12,0.311402291876997,0.0125273310408898,0.0166365385972837,-0.00159624778505401,0.00231620806320527,-0.0146400185729392,0.00114770612865445,0.020877322125128,-0.0128679886468617,-0.00370493382209334,0.00511572618631199,0.0575342954793612,-0.00520621206377255,-0.0928142575551564,-0.0139082559010839,0.0408909362277397,0.00854455311521901,-0.0152582549514063,0.0208632246526958,0.0396000270745991,-0.0505625816022062,0.0738316807262037,-0.0442094521977924,-0.0260589387211054,-0.0147508931682693,0.0260189334180804,-0.00211726726158958,-0.0326695530146628,0.0208498347366771,-0.107136419780367,0.00424964977792541,0.0169434530657403,0.0220986207689922,-0.00364028202770949,0.0196140470086041,-0.0647077085738221,-0.0129539459890254,0.0316248485557036,0.0521670134709773,0.0143677821867946,0.0328427008053417,-0.0039053458625567
13,0.337212840853606,0.0372675011566192,0.0252428481132557,0.0216840658698772,0.0296310194925986,-0.0181223312032866,0.0116857612780618,0.0325742147783198,0.0119561635951638,-0.00954100475125493,0.0231634978946648,0.086897405513613,0.000952162701437728,-0.0875646620359279,-0.00848391042895627,0.0500062132031125,0.0167618216480327,-0.0035024869459163,0.00795458294358266,0.0332787096850031,-0.0615681020045164,0.0713176780567781,-0.0351381824093991,-0.00757484411145438,-0.0240407704955582,0.0493396055566254,0.00791303057624682,-0.0365205239242498,0.025554580080124,-0.118177141579981,0.000371888771082061,0.0216457754759031,0.0282275364239799,0.0150587263901041,0.0444645227833482,-0.0396026763202469,-0.0118486470469734,0.0427534513295692,0.0694272785879787,0.0315136105058294,0.0239605249180504,0.0101783780582808
14,0.356294742394739,0.0561955830587749,0.0310819582363524,0.0397197321511453,0.054534815774188,-0.0170146822397196,0.0135200055911932,0.0428476837598131,0.0363731890123437,-0.0191387192105224,0.039221104344675,0.0931434556034556,0.00827748413204012,-0.094267833184678,-0.011808514602014,0.0531788327113161,0.0386718128895124,0.00493309301888207,0.00175995303020671,0.0321231690465354,-0.0590788500512519,0.081919718187803,-0.0259029609812256,-0.00505494951026552,-0.0181474306841901,0.0732768345586546,0.01435297388053,-0.0509933902743622,0.0234234259402331,-0.135495843804162,-0.00788185373066155,0.0272289723591504,0.0302571492262142,0.0176294159086882,0.0579906456087845,-0.00821590504521457,-0.0217385948868753,0.0737785378927742,0.0962282201570428,0.0298007536311278,0.0138492787098642,0.0209508882343324
15,0.370802976545784,0.0660665288994398,0.038517110375977,0.0587901864665574,0.0630249847923881,-0.00755747175101679,0.0166537710622526,0.0543351319628462,0.0554996814622277,-0.0176857533298204,0.0578011063177981,0.132816872083152,0.0115030126532081,-0.105305246930111,-0.018472243999107,0.0579365884519772,0.0561068869320125,0.0114141110487661,-0.000874077253615691,0.032146919597405,-0.0567788679158719,0.11342379577649,-0.0164764278768442,0.000599052218162708,-0.00851673010933373,0.0927967021278963,0.0273974951698762,-0.0572218055618057,0.0339669178093621,-0.153736473890806,-0.0205651165732057,0.0293049755720752,0.0338806660609497,0.029435372952647,0.070395859636363,-0.00113893617651717,-0.0292564130928914,0.11144223343388,0.121651413883748,0.0274667527814609,0.00995831258633716,0.0351246808761555
16,0.403766185949128,0.0853297283705646,0.0433000065563147,0.074353137921823,0.0665622778587693,-0.0221154686965555,0.0144640264311041,0.0639006148031233,0.0730194222301489,0.00296756963651024,0.0754256749168288,0.158093046550394,0.0137944365667873,-0.0968587425339494,-0.0212831468408254,0.0665649185185901,0.0565059344975049,0.0215206465538682,-0.0059473376017653,0.0381697315546221,-0.0490100488851851,0.143276230840485,-0.00884327486395566,0.00661563583384034,5.24773771474104e-05,0.103891486866006,0.0374014480207805,-0.0652129875381778,0.0515008468048747,-0.152709377184745,-0.0287979909208664,0.0321560979887748,0.0324115248782229,0.0397410155253383,0.0818833700528538,-0.0160322134588809,-0.0296195392046329,0.156493602136521,0.135603310216656,0.0176907597952254,0.0060317243267339,0.0610525230655513
17,0.417598728870459,0.101133522973791,0.0471924557288908,0.0897874777829549,0.067213675832886,-0.0260620155328041,0.0220640894918386,0.0721700923017175,0.0815144260265408,-0.00240902094648235,0.0935186390259163,0.179683430436225,0.00708758591028061,-0.0903862004204643,-0.0208870527797197,0.0656523631461712,0.055522297308708,0.027293432691427,-0.0100962425484505,0.0385120522029489,-0.0326420233766156,0.148735589656045,-0.00380802192235823,0.0145998198007618,0.0236749075366798,0.119445568996694,0.0383171763359909,-0.0811040889805862,0.0613232420908649,-0.156823990214255,-0.0480651338376336,0.0349954113052377,0.0258549939057832,0.0355716456057037,0.0971178094312907,-0.0428440468275859,-0.0328626586727302,0.167857256854748,0.15183706420671,0.00554702370920203,-0.000153637773744214,0.0751738534804298
18,0.404733783848746,0.118031467992204,0.0540484032716159,0.0985931406538493,0.0699381081045321,-0.0271807209467081,0.0311913886962387,0.0731565456922245,0.0980017249466787,-0.00532128514310623,0.109112687884455,0.221294258240113,0.00761260820354033,-0.0904002632884657,-0.0169003522939728,0.0696482226393286,0.0540950125021542,0.0257731146491374,-6.52071714142407e-06,0.0314182055915233,-0.0287405538874042,0.167901029575963,0.0120576563762084,0.0206881876186039,0.0433465679420096,0.135496994197158,0.0461904819033625,-0.0888479180714632,0.0771858258019356,-0.150280320907341,-0.0625484049878013,0.0390502352932393,0.0240939190954137,0.0339367517907721,0.107798535318987,-0.0635124605043832,-0.0363744049024,0.16634656525028,0.174845442921324,-0.00965469013912099,-0.00581688756529021,0.0751667254181992
