 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142
1,21758,21758,39624,39624,13186,13186,16707,16707,30136,30136,20945,20945,25466,25466,30911,30911,78569,78569,81242,81242,19333,19333,27979,27979,62595,62595,20539,20539,19617,19617,9406,9406,35598,35598,10835,10835,60440,60440,37486,37486,12437,12437,20483,20483,36007,36007,52278,52278,34418,34418,44054,44054,45024,45024,15809,15809,35620,35620,21341,21341,33842,33842,25341,25341,99547,99547,33658,33658,23321,23321,28193,28193,3431,3431,14489,14489,51969,51969,52727,52727,26952,26952,22264,22264,21098,21098,8044,8044,30226,30226,45739,45739,26940,26940,26085,26085,30394,30394,21985,21985,42679,42679,82899,82899,14042,14042,30320,30320,30495,30495,43255,43255,50795,50795,36674,36674,36045,36045,18586,18586,42921,42921,21984,21984,25938,25938,56540,56540,11196,11196,23783,23783,33946,33946,28105,28105,47702,47702,48308,48308,9934,9934,54884,54884,14862,14862,97639,97639,79688,79688,25585,25585,33102,33102,15021,15021,10073,10073,43138,43138,42365,42365,34566,34566,21208,21208,10031,10031,40270,40270,13644,13644,19609,19609,10682,10682,47067,47067,8040,8040,13750,13750,14420,14420,20053,20053,18618,18618,28420,28420,22309,22309,20663,20663,17251,17251,12863,12863,77845,77845,47021,47021,22461,22461,23605,23605,20477,20477,19561,19561,20339,20339,27189,27189,32616,32616,19868,19868,22481,22481,59472,59472,19471,19471,41136,41136,22803,22803,22270,22270,21587,21587,9960,9960,35441,35441,20066,20066,119861,119861,28392,28392,10911,10911,14940,14940,16110,16110,24559,24559,30791,30791,29536,29536,15477,15477,15518,15518,12600,12600,16649,16649,8497,8497,36003,36003,28270,28270,29675,29675,7863,7863,3038,3038,42893,42893,8670,8670,18757,18757,16993,16993,22097,22097
2,21886,21886,41593,41593,13332,13332,15802,15802,29739,29739,21367,21367,25334,25334,31455,31455,86984,86984,86841,86841,20179,20179,34184,34184,63550,63550,22247,22247,19456,19456,9012,9012,35099,35099,10798,10798,56158,56158,37162,37162,13434,13434,20742,20742,34840,34840,54961,54961,34104,34104,46367,46367,45609,45609,16190,16190,34731,34731,21461,21461,32288,32288,25473,25473,90206,90206,33224,33224,23999,23999,30343,30343,3388,3388,15101,15101,49608,49608,51770,51770,26925,26925,21953,21953,20784,20784,8286,8286,27139,27139,45678,45678,26902,26902,26306,26306,31098,31098,29364,29364,49066,49066,80853,80853,13914,13914,30604,30604,30089,30089,43326,43326,61129,61129,36674,36674,36395,36395,19020,19020,46955,46955,21401,21401,26322,26322,56019,56019,10748,10748,24937,24937,34957,34957,29024,29024,45879,45879,48405,48405,10003,10003,56954,56954,15078,15078,92784,92784,78371,78371,26306,26306,34268,34268,14643,14643,9747,9747,42568,42568,41820,41820,33300,33300,20706,20706,10070,10070,38767,38767,13785,13785,20080,20080,10583,10583,45671,45671,7847,7847,13883,13883,14449,14449,19831,19831,18350,18350,30125,30125,21792,21792,21306,21306,18314,18314,13359,13359,76781,76781,47816,47816,23103,23103,24346,24346,20777,20777,19518,19518,20964,20964,26371,26371,32696,32696,20623,20623,23176,23176,59780,59780,19702,19702,41065,41065,22666,22666,22154,22154,22252,22252,9702,9702,35698,35698,20193,20193,119776,119776,28947,28947,10755,10755,15282,15282,17195,17195,24322,24322,30838,30838,28517,28517,16803,16803,15831,15831,12764,12764,17508,17508,8415,8415,35265,35265,27805,27805,29951,29951,7961,7961,3077,3077,41922,41922,8660,8660,19097,19097,16328,16328,18922,18922
3,22264,22264,41758,41758,13564,13564,16231,16231,29338,29338,22146,22146,25943,25943,32318,32318,91957,91957,92654,92654,20739,20739,35033,35033,63877,63877,24262,24262,19211,19211,9629,9629,35270,35270,10624,10624,59668,59668,37456,37456,14719,14719,20616,20616,35342,35342,53274,53274,34639,34639,50053,50053,45869,45869,16039,16039,34311,34311,21688,21688,31570,31570,25971,25971,84510,84510,33228,33228,25624,25624,47866,47866,3648,3648,15409,15409,47344,47344,50527,50527,27304,27304,21742,21742,21347,21347,8417,8417,26088,26088,46943,46943,26509,26509,27346,27346,31887,31887,31358,31358,51765,51765,78672,78672,14108,14108,31066,31066,30636,30636,42452,42452,60214,60214,37076,37076,36387,36387,19556,19556,55280,55280,20918,20918,27244,27244,54308,54308,10751,10751,24242,24242,34553,34553,29806,29806,45817,45817,48719,48719,10069,10069,53839,53839,15020,15020,89123,89123,78298,78298,25473,25473,35017,35017,15018,15018,9889,9889,42986,42986,44481,44481,32976,32976,20717,20717,9943,9943,38944,38944,13871,13871,19763,19763,10821,10821,45954,45954,7936,7936,13671,13671,14850,14850,20052,20052,18418,18418,32186,32186,23014,23014,21688,21688,19109,19109,13457,13457,74838,74838,47345,47345,23515,23515,25019,25019,20550,20550,20260,20260,21140,21140,26989,26989,33121,33121,19783,19783,24275,24275,60665,60665,19773,19773,41854,41854,23128,23128,22244,22244,21789,21789,10044,10044,35900,35900,20637,20637,122094,122094,29657,29657,10932,10932,15438,15438,17072,17072,24176,24176,31392,31392,28819,28819,17425,17425,15908,15908,12968,12968,17444,17444,8813,8813,34852,34852,27981,27981,30674,30674,8276,8276,3183,3183,41199,41199,9152,9152,19501,19501,15300,15300,16224,16224
4,22495,22495,42200,42200,13785,13785,16064,16064,30252,30252,23461,23461,26147,26147,32851,32851,98877,98877,99098,99098,20740,20740,35230,35230,65945,65945,24805,24805,19693,19693,10078,10078,34705,34705,10839,10839,58976,58976,38439,38439,14620,14620,20750,20750,35273,35273,53983,53983,34936,34936,53143,53143,46397,46397,16341,16341,33549,33549,22011,22011,30612,30612,30541,30541,81592,81592,33880,33880,32906,32906,84232,84232,3925,3925,15830,15830,46718,46718,49830,49830,28037,28037,21259,21259,21301,21301,8294,8294,25251,25251,47213,47213,25951,25951,27929,27929,33654,33654,32390,32390,57904,57904,78445,78445,13806,13806,31334,31334,30570,30570,44021,44021,60480,60480,38455,38455,36374,36374,20935,20935,76949,76949,21213,21213,27400,27400,55151,55151,10819,10819,23503,23503,35959,35959,29320,29320,45022,45022,49758,49758,10099,10099,46577,46577,14816,14816,89538,89538,79727,79727,27794,27794,36494,36494,14995,14995,10323,10323,43020,43020,52881,52881,32905,32905,20945,20945,10032,10032,38789,38789,14444,14444,19970,19970,10513,10513,46026,46026,8320,8320,13615,13615,15148,15148,22555,22555,18822,18822,36570,36570,22986,22986,22407,22407,20488,20488,13625,13625,76407,76407,49261,49261,24131,24131,24933,24933,21257,21257,19876,19876,20773,20773,27584,27584,33175,33175,20195,20195,24942,24942,60250,60250,19932,19932,42859,42859,23752,23752,22258,22258,22195,22195,10479,10479,35726,35726,21341,21341,123456,123456,30653,30653,10566,10566,15208,15208,17224,17224,24768,24768,32146,32146,28990,28990,17444,17444,15810,15810,12744,12744,17773,17773,8790,8790,34245,34245,28327,28327,30742,30742,8195,8195,3191,3191,40075,40075,9240,9240,19892,19892,15783,15783,16262,16262
5,22220,22220,43565,43565,14027,14027,15598,15598,30421,30421,23713,23713,26595,26595,33269,33269,105059,105059,99141,99141,21329,21329,35778,35778,66337,66337,26370,26370,19627,19627,11509,11509,35712,35712,11001,11001,57887,57887,38366,38366,14999,14999,21010,21010,34858,34858,54863,54863,34372,34372,52696,52696,47236,47236,17584,17584,34424,34424,21835,21835,30612,30612,45606,45606,77252,77252,34112,34112,46160,46160,89338,89338,4068,4068,15826,15826,45135,45135,51412,51412,28033,28033,22060,22060,22153,22153,8342,8342,24968,24968,50246,50246,26107,26107,28397,28397,33613,33613,32258,32258,58029,58029,76826,76826,13649,13649,31631,31631,31118,31118,44141,44141,60871,60871,42215,42215,36417,36417,22270,22270,95334,95334,21920,21920,27637,27637,54780,54780,10593,10593,22654,22654,35758,35758,30120,30120,43780,43780,48604,48604,10312,10312,41596,41596,15123,15123,92287,92287,79923,79923,35117,35117,36736,36736,15383,15383,9975,9975,43390,43390,73071,73071,31772,31772,21677,21677,10222,10222,38817,38817,14729,14729,20478,20478,10673,10673,46332,46332,8113,8113,13253,13253,15306,15306,31797,31797,18780,18780,36022,36022,23328,23328,22730,22730,22445,22445,13325,13325,75692,75692,50270,50270,24134,24134,24924,24924,21341,21341,19788,19788,21393,21393,28179,28179,34469,34469,19334,19334,26051,26051,60121,60121,20341,20341,42836,42836,23711,23711,21821,21821,22381,22381,10266,10266,35804,35804,21661,21661,124957,124957,31624,31624,10073,10073,15736,15736,17522,17522,24925,24925,31861,31861,28924,28924,17868,17868,16007,16007,13100,13100,18242,18242,8781,8781,34521,34521,27535,27535,33164,33164,8470,8470,3154,3154,39398,39398,9274,9274,20394,20394,16369,16369,15934,15934
6,22605,22605,44303,44303,13601,13601,16195,16195,31221,31221,24267,24267,26324,26324,33774,33774,108460,108460,102079,102079,20717,20717,35855,35855,66967,66967,25999,25999,19810,19810,17345,17345,35366,35366,11162,11162,60252,60252,38040,38040,15144,15144,21430,21430,34948,34948,54751,54751,34186,34186,54072,54072,47194,47194,17884,17884,36548,36548,22144,22144,30074,30074,52637,52637,74432,74432,33563,33563,58098,58098,89405,89405,4279,4279,15441,15441,43750,43750,54239,54239,28370,28370,23492,23492,21777,21777,8378,8378,24355,24355,51757,51757,26347,26347,28712,28712,34299,34299,32879,32879,59110,59110,76033,76033,13853,13853,32173,32173,30689,30689,44503,44503,57857,57857,46151,46151,36518,36518,22785,22785,98922,98922,21754,21754,27884,27884,53809,53809,10612,10612,20689,20689,35819,35819,31634,31634,43902,43902,50251,50251,10423,10423,41615,41615,14673,14673,93323,93323,80408,80408,48599,48599,36542,36542,15790,15790,10495,10495,43866,43866,94581,94581,31751,31751,21883,21883,10675,10675,38815,38815,15696,15696,24955,24955,10934,10934,46762,46762,8022,8022,13281,13281,15871,15871,43318,43318,18930,18930,36100,36100,23304,23304,22813,22813,23412,23412,13945,13945,76019,76019,49565,49565,24322,24322,24768,24768,21998,21998,20092,20092,21888,21888,27686,27686,37699,37699,19712,19712,26195,26195,60419,60419,20715,20715,44041,44041,24203,24203,21645,21645,22518,22518,10238,10238,36085,36085,22192,22192,125814,125814,33989,33989,10229,10229,15833,15833,17973,17973,24696,24696,33352,33352,29676,29676,17576,17576,16648,16648,12780,12780,18384,18384,8872,8872,34479,34479,27265,27265,47520,47520,8254,8254,3360,3360,40438,40438,9367,9367,20522,20522,16866,16866,14474,14474
7,22729,22729,44962,44962,14039,14039,15655,15655,31959,31959,23929,23929,26414,26414,34722,34722,109841,109841,102776,102776,21371,21371,35461,35461,68552,68552,26468,26468,20044,20044,28605,28605,35937,35937,11053,11053,59878,59878,38521,38521,15504,15504,21045,21045,35530,35530,55836,55836,34188,34188,54904,54904,47002,47002,18551,18551,36137,36137,22557,22557,29862,29862,50665,50665,72444,72444,33750,33750,47299,47299,90642,90642,4316,4316,16163,16163,42398,42398,57974,57974,28687,28687,23281,23281,21801,21801,8960,8960,24128,24128,52737,52737,26598,26598,28724,28724,34349,34349,32488,32488,60223,60223,74201,74201,13943,13943,32506,32506,30527,30527,44834,44834,48246,48246,48675,48675,36805,36805,22743,22743,98410,98410,21626,21626,28232,28232,54399,54399,10897,10897,19367,19367,36491,36491,32002,32002,43586,43586,50667,50667,10552,10552,41729,41729,15452,15452,89701,89701,80490,80490,53078,53078,37787,37787,15765,15765,10459,10459,46551,46551,94813,94813,31914,31914,22604,22604,13965,13965,37980,37980,16042,16042,26244,26244,10860,10860,47395,47395,8162,8162,13329,13329,16103,16103,43433,43433,18924,18924,36569,36569,23240,23240,22880,22880,24159,24159,13709,13709,75724,75724,51228,51228,24459,24459,23817,23817,21771,21771,20410,20410,21981,21981,28141,28141,45354,45354,19101,19101,26835,26835,58906,58906,20805,20805,43145,43145,24500,24500,22425,22425,22849,22849,9805,9805,36080,36080,22080,22080,125479,125479,36303,36303,9894,9894,15830,15830,17905,17905,24671,24671,32951,32951,29926,29926,17283,17283,16471,16471,12900,12900,18919,18919,8825,8825,34288,34288,26763,26763,70317,70317,8396,8396,3223,3223,39153,39153,9312,9312,21120,21120,15795,15795,12861,12861
8,22247,22247,44880,44880,14090,14090,15503,15503,33008,33008,24490,24490,27250,27250,35997,35997,112145,112145,105347,105347,20873,20873,35642,35642,69580,69580,27312,27312,19307,19307,27181,27181,35036,35036,11006,11006,58191,58191,39222,39222,15071,15071,21054,21054,35170,35170,56986,56986,34805,34805,54234,54234,46583,46583,18522,18522,37901,37901,22620,22620,29979,29979,51489,51489,70161,70161,33345,33345,39550,39550,90485,90485,4392,4392,16427,16427,41257,41257,64386,64386,28570,28570,23661,23661,21641,21641,9037,9037,25173,25173,55615,55615,25873,25873,29089,29089,35252,35252,32794,32794,59693,59693,72795,72795,13855,13855,32563,32563,30769,30769,45686,45686,40888,40888,49213,49213,37554,37554,22727,22727,96889,96889,21041,21041,27789,27789,53383,53383,10953,10953,19343,19343,36818,36818,32040,32040,42548,42548,50303,50303,10297,10297,42684,42684,14768,14768,89418,89418,80683,80683,55744,55744,39154,39154,16391,16391,10518,10518,51954,51954,96106,96106,31586,31586,22628,22628,17803,17803,38305,38305,16419,16419,26530,26530,10671,10671,47688,47688,8107,8107,12985,12985,16291,16291,43554,43554,18858,18858,36480,36480,23682,23682,22707,22707,25441,25441,13827,13827,76663,76663,52567,52567,24270,24270,23392,23392,21714,21714,19973,19973,22194,22194,28325,28325,47060,47060,19425,19425,27465,27465,60075,60075,21061,21061,43002,43002,24648,24648,21682,21682,24130,24130,10238,10238,36529,36529,22108,22108,125206,125206,37147,37147,9796,9796,15745,15745,17918,17918,24825,24825,32684,32684,29701,29701,17252,17252,16180,16180,13085,13085,19108,19108,9121,9121,34076,34076,27402,27402,79445,79445,8676,8676,3314,3314,39933,39933,9794,9794,21011,21011,15906,15906,11890,11890
9,22574,22574,47185,47185,14070,14070,15727,15727,36828,36828,24435,24435,27352,27352,36468,36468,114706,114706,106887,106887,21005,21005,35526,35526,69925,69925,34040,34040,19667,19667,25517,25517,35477,35477,10791,10791,58879,58879,39342,39342,16313,16313,20797,20797,34953,34953,56280,56280,34654,34654,56114,56114,46478,46478,18663,18663,41351,41351,22361,22361,30274,30274,51709,51709,67834,67834,33447,33447,35431,35431,91314,91314,4148,4148,16324,16324,40105,40105,75844,75844,29186,29186,24875,24875,21781,21781,8384,8384,25263,25263,86351,86351,25568,25568,28490,28490,39288,39288,33311,33311,59848,59848,71048,71048,13709,13709,32486,32486,30836,30836,46036,46036,36593,36593,48294,48294,37351,37351,24138,24138,96068,96068,21843,21843,28676,28676,53826,53826,11353,11353,18303,18303,37034,37034,32087,32087,42452,42452,52212,52212,10448,10448,41323,41323,14946,14946,87107,87107,81529,81529,58497,58497,40081,40081,17395,17395,10490,10490,59353,59353,100549,100549,32119,32119,22881,22881,17825,17825,37558,37558,16564,16564,25954,25954,10546,10546,48376,48376,8024,8024,13308,13308,16649,16649,44532,44532,18983,18983,36639,36639,23544,23544,22781,22781,26552,26552,13842,13842,75456,75456,53033,53033,25409,25409,23255,23255,22240,22240,20851,20851,22128,22128,27945,27945,47937,47937,18895,18895,27679,27679,66749,66749,21763,21763,43224,43224,25148,25148,22387,22387,23527,23527,10284,10284,36027,36027,22280,22280,126833,126833,38595,38595,9710,9710,16117,16117,18163,18163,24441,24441,33159,33159,28378,28378,17321,17321,16558,16558,12780,12780,18924,18924,9084,9084,34756,34756,27190,27190,75920,75920,8509,8509,3464,3464,40184,40184,10025,10025,21161,21161,15095,15095,11081,11081
10,22409,22409,50448,50448,14300,14300,15232,15232,44297,44297,24835,24835,27679,27679,36649,36649,114055,114055,113741,113741,21568,21568,36923,36923,70259,70259,53855,53855,19904,19904,25456,25456,35105,35105,10806,10806,60360,60360,38271,38271,16168,16168,21937,21937,35065,35065,56707,56707,34433,34433,55069,55069,45965,45965,18573,18573,45431,45431,22782,22782,30776,30776,52129,52129,67883,67883,32642,32642,33060,33060,90762,90762,4526,4526,16277,16277,39451,39451,84614,84614,29356,29356,25755,25755,21588,21588,8451,8451,25576,25576,145272,145272,25371,25371,28935,28935,60079,60079,33958,33958,60495,60495,70074,70074,14130,14130,32695,32695,30792,30792,45882,45882,35020,35020,48483,48483,37627,37627,24594,24594,94321,94321,21596,21596,28887,28887,54739,54739,11366,11366,18039,18039,36248,36248,31914,31914,41998,41998,51494,51494,10567,10567,40016,40016,15692,15692,86857,86857,83062,83062,60865,60865,40095,40095,19333,19333,11148,11148,66527,66527,102184,102184,31507,31507,22966,22966,17646,17646,37674,37674,17573,17573,26568,26568,11203,11203,48504,48504,8358,8358,13178,13178,16370,16370,45793,45793,19633,19633,36021,36021,24264,24264,22871,22871,27950,27950,13964,13964,76035,76035,54111,54111,26257,26257,23130,23130,22782,22782,20426,20426,22559,22559,27872,27872,47183,47183,20101,20101,27781,27781,84061,84061,21777,21777,43368,43368,25615,25615,22464,22464,24772,24772,10436,10436,36875,36875,22055,22055,127588,127588,38930,38930,10361,10361,15776,15776,18632,18632,25113,25113,33552,33552,28711,28711,17436,17436,17062,17062,13208,13208,18969,18969,9001,9001,34783,34783,27421,27421,58801,58801,8672,8672,3534,3534,39698,39698,10324,10324,20728,20728,14952,14952,10809,10809
11,22824,22824,54542,54542,14546,14546,15046,15046,49498,49498,25766,25766,27824,27824,36668,36668,121978,121978,120572,120572,22051,22051,38264,38264,71004,71004,56299,56299,19668,19668,22841,22841,35605,35605,11041,11041,60317,60317,39707,39707,15577,15577,20591,20591,34587,34587,60158,60158,34786,34786,55566,55566,46320,46320,18548,18548,44420,44420,22856,22856,32412,32412,49965,49965,64611,64611,32880,32880,32174,32174,90458,90458,4546,4546,16195,16195,38494,38494,89957,89957,29137,29137,25398,25398,21392,21392,8554,8554,25464,25464,167084,167084,25649,25649,27844,27844,97856,97856,32432,32432,58934,58934,69062,69062,13533,13533,32869,32869,30321,30321,45422,45422,32997,32997,46590,46590,36574,36574,24637,24637,96220,96220,21019,21019,29843,29843,53616,53616,10973,10973,17611,17611,36376,36376,31541,31541,42936,42936,50444,50444,10708,10708,39875,39875,15175,15175,85837,85837,79613,79613,60915,60915,41525,41525,19312,19312,10287,10287,66323,66323,98038,98038,29910,29910,22344,22344,17417,17417,36883,36883,18032,18032,26273,26273,10834,10834,48147,48147,7806,7806,12951,12951,17022,17022,42734,42734,18649,18649,36911,36911,24205,24205,22573,22573,30949,30949,13725,13725,74315,74315,54833,54833,28120,28120,23227,23227,22304,22304,20786,20786,22113,22113,28074,28074,46725,46725,19358,19358,27638,27638,106803,106803,21558,21558,43566,43566,25471,25471,22055,22055,24646,24646,10268,10268,36429,36429,22400,22400,123719,123719,39196,39196,9605,9605,15934,15934,18700,18700,24538,24538,33709,33709,28777,28777,17572,17572,16280,16280,12850,12850,19634,19634,8937,8937,34274,34274,28327,28327,50283,50283,8694,8694,3494,3494,39900,39900,9990,9990,20907,20907,15463,15463,10088,10088
12,23263,23263,53345,53345,14314,14314,15032,15032,53900,53900,26161,26161,28584,28584,36942,36942,120101,120101,120357,120357,21826,21826,38260,38260,71424,71424,58857,58857,19583,19583,21971,21971,34639,34639,10517,10517,60117,60117,39635,39635,15507,15507,20461,20461,33738,33738,59946,59946,35653,35653,55733,55733,46163,46163,18137,18137,42939,42939,22636,22636,32800,32800,48250,48250,63105,63105,32239,32239,31813,31813,84253,84253,4687,4687,16550,16550,37920,37920,88162,88162,28444,28444,25521,25521,21213,21213,8632,8632,24921,24921,170220,170220,25432,25432,27329,27329,115694,115694,30903,30903,55893,55893,68911,68911,13642,13642,32108,32108,30568,30568,45139,45139,31825,31825,44857,44857,36407,36407,24722,24722,96365,96365,20202,20202,30571,30571,52128,52128,11070,11070,17608,17608,36082,36082,31062,31062,41389,41389,50711,50711,10735,10735,40305,40305,14559,14559,85106,85106,78816,78816,54811,54811,41793,41793,19260,19260,9927,9927,65420,65420,95897,95897,29686,29686,20904,20904,16953,16953,36879,36879,17918,17918,26033,26033,10567,10567,48633,48633,8220,8220,12929,12929,17017,17017,40282,40282,18641,18641,35972,35972,24205,24205,22285,22285,31204,31204,14011,14011,72251,72251,56011,56011,34123,34123,22840,22840,22206,22206,21005,21005,22058,22058,28441,28441,46385,46385,19455,19455,27308,27308,121653,121653,21353,21353,43122,43122,25281,25281,21591,21591,24616,24616,11069,11069,36124,36124,22260,22260,121955,121955,37932,37932,9807,9807,16470,16470,19076,19076,24329,24329,33902,33902,29476,29476,17795,17795,17139,17139,12842,12842,20326,20326,9178,9178,34351,34351,28858,28858,47021,47021,8573,8573,3460,3460,39547,39547,10013,10013,21030,21030,15791,15791,9771,9771
